id,keyword,location,text,target,incident_label
38,collision,near the bridge,A collision happened near the bridge. Please respond immediately.,1,accident
27,vehicle overturn,at the terminal entrance,Witnesses saw a vehicle overturn at the terminal entrance with injured passengers. The situation may get worse.,1,accident
79,theft,at the market area,A possible theft case was reported at the market area. Several people are nearby.,1,crime
92,waist-deep water,in the market street,People are stranded due to waist-deep water in the market street. This was just reported by residents.,1,flood
50,chest pain,at the food court,There is a possible emergency with a chest pain at the food court. The situation may get worse.,1,medical
16,flames,at the factory gate,"Emergency, visible flames at the factory gate. Several people are nearby.",1,fire
94,waist-deep water,around the school grounds,Emergency teams are needed for waist-deep water around the school grounds. Please respond immediately.,1,flood
72,theft,at the parking lot,A theft was reported at the parking lot. Please respond immediately.,1,crime
87,overflowing creek,in the market street,Emergency teams are needed for overflowing creek in the market street. This was just reported by residents.,1,flood
23,vehicle overturn,beside the mall,A delivery truck caused a vehicle overturn beside the mall. Several people are nearby.,1,accident
14,explosion,near the market,A possible explosion incident was reported near the market. Please respond immediately.,1,fire
41,unconscious patient,in the classroom,A patient with unconscious patient was seen in the classroom. This was just reported by residents.,1,medical
53,seizure,inside the mall,There is a possible emergency with a seizure inside the mall. Several people are nearby.,1,medical
13,burning,in the apartment,Something is burning in the apartment and there are strong burning.,1,fire
89,rising water,in Barangay San Isidro,Families are affected by rising water in Barangay San Isidro.,1,flood
46,person fainted,inside the mall,A person fainted was reported inside the mall. This was just reported by residents.,1,medical
12,fire,at the factory gate,A possible fire incident was reported at the factory gate. Please respond immediately.,1,fire
67,assault,at the market area,An emergency call mentioned assault at the market area.,1,crime
21,motorcycle accident,along the national road,A delivery truck caused a motorcycle accident along the national road. Please respond immediately.,1,accident
19,flames,in Barangay Poblacion,"Emergency, visible flames in Barangay Poblacion. Several people are nearby.",1,fire
51,person fainted,inside the mall,A patient with person fainted was seen inside the mall. The situation may get worse.,1,medical
3,explosion,near the market,Something is burning near the market and there are strong explosion. Please respond immediately.,1,fire
18,fire,at the factory gate,Residents say fire is spreading quickly at the factory gate. This was just reported by residents.,1,fire
86,waist-deep water,near the river,Emergency teams are needed for waist-deep water near the river.,1,flood
6,flames,near the market,A possible flames incident was reported near the market.,1,fire
98,rising water,in the subdivision,Residents reported rising water in the subdivision. Please respond immediately.,1,flood
52,difficulty breathing,near the plaza,Security found a difficulty breathing near the plaza.,1,medical
31,road accident,on the service road,There was a loud impact from a road accident on the service road. The situation may get worse.,1,accident
75,suspicious armed person,near the terminal,There is an ongoing suspicious armed person near the terminal.,1,crime
97,flash flood,around the school grounds,The road is blocked due to flash flood around the school grounds.,1,flood
66,assault,outside the dormitory,A possible assault case was reported outside the dormitory. Please respond immediately.,1,crime
55,seizure,in the library,There is a possible emergency with a seizure in the library. Please respond immediately.,1,medical
28,collision,on the highway,An emergency report says collision on the highway. Several people are nearby.,1,accident
59,unconscious patient,in the library,There is a possible emergency with a unconscious patient in the library. Please respond immediately.,1,medical
34,vehicle overturn,near the bridge,There was a loud impact from a vehicle overturn near the bridge. Several people are nearby.,1,accident
44,seizure,inside the mall,Immediate medical response is needed for a seizure inside the mall. The situation may get worse.,1,medical
37,car crash,at the terminal entrance,Authorities are needed after a car crash at the terminal entrance. Please respond immediately.,1,accident
22,motorcycle accident,on the service road,A motorcycle accident happened on the service road.,1,accident
33,vehicle overturn,near the bridge,Two vehicles were involved in a vehicle overturn near the bridge. The situation may get worse.,1,accident
